Date : 2023-11-12 00:43:41
Directory : d:\ROBLOX STUDIO\Rojo\UTP\src
Total : 476 files,  26301 codes, 1194 comments, 4660 blanks, all 32155 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ServerStorage\TycoonModel\Buttons\FrontWallsTButton\ButtonPart\BillboardGui\Frame (Files)                                                                       |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FrontWallsTButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                     |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\OwnerDoorButton                                                                                                               |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\OwnerDoorButton (Files)                                                                                                       |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart                                                                                                    |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart (Files)                                                                                            |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\BillboardGui                                                                                       |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\BillboardGui (Files)                                                                               |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\BillboardGui\Frame                                                                                 |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\BillboardGui\Frame (Files)                                                                         |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                       |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\SecondButtonDropper                                                                                                           |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\SecondButtonDropper (Files)                                                                                                   |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart                                                                                                |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart (Files)                                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\BillboardGui                                                                                   |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\BillboardGui (Files)                                                                           |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\BillboardGui\Frame                                                                             |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\BillboardGui\Frame (Files)                                                                     |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\BillboardGui\Frame\TextLabel                                                                   |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\SecondEggButton                                                                                                               |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\SecondEggButton (Files)                                                                                                       |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart                                                                                                    |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart (Files)                                                                                            |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\BillboardGui                                                                                       |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\BillboardGui (Files)                                                                               |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\BillboardGui\Frame                                                                                 |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\BillboardGui\Frame (Files)                                                                         |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                       |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\StairsTButton                                                                                                                 |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\StairsTButton (Files)                                                                                                         |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart                                                                                                      |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart (Files)                                                                                              |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\BillboardGui                                                                                         |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\BillboardGui (Files)                                                                                 |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\BillboardGui\Frame                                                                                   |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\BillboardGui\Frame (Files)                                                                           |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                         |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\ThirdButton                                                                                                                   |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\ThirdButton (Files)                                                                                                           |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart                                                                                                        |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart (Files)                                                                                                |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\BillboardGui                                                                                           |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\BillboardGui (Files)                                                                                   |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\BillboardGui\Frame                                                                                     |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\BillboardGui\Frame (Files)                                                                             |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                           |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\UpWallsTButton                                                                                                                |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\UpWallsTButton (Files)                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart                                                                                                     |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart (Files)                                                                                             |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\BillboardGui                                                                                        |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\BillboardGui (Files)                                                                                |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\BillboardGui\Frame                                                                                  |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\BillboardGui\Frame (Files)                                                                          |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                        |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\UpgradePetButton                                                                                                              |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\UpgradePetButton (Files)                                                                                                      |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart                                                                                                   |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart (Files)                                                                                           |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\BillboardGui                                                                                      |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\BillboardGui (Files)                                                                              |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\BillboardGui\Frame                                                                                |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\BillboardGui\Frame (Files)                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                      |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\UpgraderButton                                                                                                                |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\UpgraderButton (Files)                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart                                                                                                     |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart (Files)                                                                                             |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\BillboardGui                                                                                        |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\BillboardGui (Files)                                                                                |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\BillboardGui\Frame                                                                                  |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\BillboardGui\Frame (Files)                                                                          |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                        |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\WindowsTButton                                                                                                                |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\WindowsTButton (Files)                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart                                                                                                     |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart (Files)                                                                                             |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\BillboardGui                                                                                        |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\BillboardGui (Files)                                                                                |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\BillboardGui\Frame                                                                                  |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\BillboardGui\Frame (Files)                                                                          |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                        |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\MainItems                                                                                                                             |         11 |         57 |          2 |         18 |         77 |
| ServerStorage\TycoonModel\MainItems (Files)                                                                                                                     |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\MainItems\ConveyorBelt                                                                                                                |          7 |         30 |          0 |          8 |         38 |
| ServerStorage\TycoonModel\MainItems\ConveyorBelt (Files)                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\MainItems\ConveyorBelt\CollectorPart                                                                                                  |          2 |         13 |          0 |          4 |         17 |
| ServerStorage\TycoonModel\MainItems\ConveyorBelt\ConveyorPart1                                                                                                  |          2 |          7 |          0 |          2 |          9 |
| ServerStorage\TycoonModel\MainItems\ConveyorBelt\ConveyorPart2                                                                                                  |          2 |          7 |          0 |          2 |          9 |
| ServerStorage\TycoonModel\MainItems\OwnerDoor                                                                                                                   |          3 |         24 |          2 |         10 |         36 |
| ServerStorage\TycoonModel\MainItems\OwnerDoor (Files)                                                                                                           |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\MainItems\OwnerDoor\MainDoor                                                                                                          |          2 |         21 |          2 |         10 |         33 |
| ServerStorage\TycoonModel\Scripts                                                                                                                               |          6 |        207 |          7 |         85 |        299 |
| StarterGui                                                                                                                                                      |         14 |        196 |          3 |         41 |        240 |
| StarterGui\GuiTeste                                                                                                                                             |          9 |        171 |          3 |         31 |        205 |
| StarterGui\GuiTeste (Files)                                                                                                                                     |          1 |          4 |          0 |          0 |          4 |
| StarterGui\GuiTeste\Frame1                                                                                                                                      |          8 |        167 |          3 |         31 |        201 |
| StarterGui\GuiTeste\Frame1 (Files)                                                                                                                              |          1 |          4 |          0 |          0 |          4 |
| StarterGui\GuiTeste\Frame1\Animator                                                                                                                             |          7 |        163 |          3 |         31 |        197 |
| StarterGui\GuiTeste\Frame1\Animator (Files)                                                                                                                     |          2 |         56 |          2 |         24 |         82 |
| StarterGui\GuiTeste\Frame1\Animator\Tweens                                                                                                                      |          5 |        107 |          1 |          7 |        115 |
| StarterGui\ScreenGui                                                                                                                                            |          5 |         25 |          0 |         10 |         35 |
| StarterGui\ScreenGui (Files)                                                                                                                                    |          1 |          4 |          0 |          0 |          4 |
| StarterGui\ScreenGui\MainFrame                                                                                                                                  |          4 |         21 |          0 |         10 |         31 |
| StarterGui\ScreenGui\MainFrame (Files)                                                                                                                          |          1 |          4 |          0 |          0 |          4 |
| StarterGui\ScreenGui\MainFrame\Cash                                                                                                                             |          3 |         17 |          0 |         10 |         27 |
| StarterGui\ScreenGui\MainFrame\Cash (Files)                                                                                                                     |          1 |          4 |          0 |          0 |          4 |
| StarterGui\ScreenGui\MainFrame\Cash\TextLabel                                                                                                                   |          2 |         13 |          0 |         10 |         23 |
| StarterPlayer                                                                                                                                                   |          9 |        889 |         81 |        236 |      1,206 |
| StarterPlayer\StarterCharacterScripts                                                                                                                           |          1 |        147 |          1 |         31 |        179 |
| StarterPlayer\StarterPlayerScripts                                                                                                                              |          8 |        742 |         80 |        205 |      1,027 |
| StarterPlayer\StarterPlayerScripts (Files)                                                                                                                      |          4 |        159 |         11 |         83 |        253 |
| StarterPlayer\StarterPlayerScripts\PlayerModule                                                                                                                 |          4 |        583 |         69 |        122 |        774 |
| StarterPlayer\StarterPlayerScripts\PlayerModule (Files)                                                                                                         |          2 |         32 |          3 |         10 |         45 |
| StarterPlayer\StarterPlayerScripts\PlayerModule\ControlModule                                                                                                   |          2 |        551 |         66 |        112 |        729 |
| Workspace                                                                                                                                                       |         46 |      2,648 |        252 |        501 |      3,401 |
| Workspace\CenarioAssets                                                                                                                                         |         19 |        684 |         79 |        125 |        888 |
| Workspace\CenarioAssets (Files)                                                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| Workspace\CenarioAssets\Model                                                                                                                                   |          6 |         12 |         16 |          0 |         28 |
| Workspace\CenarioAssets\Model (Files)                                                                                                                           |          1 |          4 |          0 |          0 |          4 |
| Workspace\CenarioAssets\Model\Controler Base                                                                                                                    |          3 |          4 |          9 |          0 |         13 |
| Workspace\CenarioAssets\Model\Part                                                                                                                              |          2 |          4 |          7 |          0 |         11 |
| Workspace\CenarioAssets\Rig                                                                                                                                     |          3 |        641 |         47 |        124 |        812 |
| Workspace\CenarioAssets\Teclado RGB -By gatotou5r                                                                                                               |          3 |         16 |          0 |          1 |         17 |
| Workspace\CenarioAssets\Teclado RGB -By gatotou5r (Files)                                                                                                       |          1 |          4 |          0 |          0 |          4 |
| Workspace\CenarioAssets\Teclado RGB -By gatotou5r\Part                                                                                                          |          2 |         12 |          0 |          1 |         13 |
| Workspace\CenarioAssets\d                                                                                                                                       |          6 |         12 |         16 |          0 |         28 |
| Workspace\CenarioAssets\d (Files)                                                                                                                               |          1 |          4 |          0 |          0 |          4 |
| Workspace\CenarioAssets\d\Controler Base                                                                                                                        |          3 |          4 |          9 |          0 |         13 |
| Workspace\CenarioAssets\d\Part                                                                                                                                  |          2 |          4 |          7 |          0 |         11 |
| Workspace\Model                                                                                                                                                 |          6 |          9 |         16 |          0 |         25 |
| Workspace\Model (Files)                                                                                                                                         |          1 |          3 |          0 |          0 |          3 |
| Workspace\Model\Controler Base                                                                                                                                  |          3 |          3 |          9 |          0 |         12 |
| Workspace\Model\Part                                                                                                                                            |          2 |          3 |          7 |          0 |         10 |
| Workspace\Rig                                                                                                                                                   |          5 |      1,278 |         94 |        248 |      1,620 |
| Workspace\Rig (Files)                                                                                                                                           |          3 |        641 |         47 |        124 |        812 |
| Workspace\Rig\Animate                                                                                                                                           |          2 |        637 |         47 |        124 |        808 |
| Workspace\TycoonModel                                                                                                                                           |          7 |         27 |          0 |          4 |         31 |
| Workspace\TycoonModel (Files)                                                                                                                                   |          1 |          4 |          0 |          0 |          4 |
| Workspace\TycoonModel\MainItems                                                                                                                                 |          6 |         23 |          0 |          4 |         27 |
| Workspace\TycoonModel\MainItems (Files)                                                                                                                         |          1 |          3 |          0 |          0 |          3 |
| Workspace\TycoonModel\MainItems\ConveyorBelt                                                                                                                    |          5 |         20 |          0 |          4 |         24 |
| Workspace\TycoonModel\MainItems\ConveyorBelt (Files)                                                                                                            |          1 |          4 |          0 |          0 |          4 |
| Workspace\TycoonModel\MainItems\ConveyorBelt\ConveyorPart1                                                                                                      |          2 |          8 |          0 |          2 |         10 |
| Workspace\TycoonModel\MainItems\ConveyorBelt\ConveyorPart2                                                                                                      |          2 |          8 |          0 |          2 |         10 |
| Workspace\d                                                                                                                                                     |          6 |          9 |         16 |          0 |         25 |
| Workspace\d (Files)                                                                                                                                             |          1 |          3 |          0 |          0 |          3 |
| Workspace\d\Controler Base                                                                                                                                      |          3 |          3 |          9 |          0 |         12 |
| Workspace\d\Part                                                                                                                                                |          2 |          3 |          7 |          0 |         10 |
| Workspace\rasda                                                                                                                                                 |          3 |        641 |         47 |        124 |        812 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                        | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedFirst\GameLoading\GameLoadingService.lua                                                                                | Lua        |         57 |          5 |         10 |         72 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedFirst\GameLoading\init.meta.json                                                                                        | JSON       |          1 |          0 |          0 |          1 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\GuiServices.lua                                                                                  | Lua        |        165 |          6 |         93 |        264 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\Inputs.lua                                                                                       | Lua        |         55 |          3 |         27 |         85 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\PetClientsService.lua                                                                            | Lua        |         43 |          1 |         40 |         84 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillAnimator.lua                                                                                | Lua        |         31 |          2 |          9 |         42 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Blue.lua                                                                       | Lua        |         24 |          1 |          8 |         33 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Clones.lua                                                                     | Lua        |         23 |          2 |          8 |         33 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Demon_Slayer.lua                                                               | Lua        |          1 |          0 |          0 |          1 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Kamehameha.lua                                                                 | Lua        |         27 |          0 |         11 |         38 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Purple.lua                                                                     | Lua        |         64 |          2 |         22 |         88 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Rasengan.lua                                                                   | Lua        |        125 |          0 |         23 |        148 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Red.lua                                                                        | Lua        |         24 |          1 |         10 |         35 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Wind_Smash.lua                                                                 | Lua        |         45 |          0 |         13 |         58 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\TycoonClientServices.lua                                                                         | Lua        |        196 |          4 |         87 |        287 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\init.meta.json                                                                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop1\BillboardGui\Script.server.lua                                                                      | Lua        |          7 |          0 |          9 |         16 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop1\BillboardGui\init.meta.json                                                                         | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop1\init.meta.json                                                                                      | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop2\BillboardGui\Script.server.lua                                                                      | Lua        |          7 |          0 |          9 |         16 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop2\BillboardGui\init.meta.json                                                                         | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop2\init.meta.json                                                                                      | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop3\BillboardGui\Script.server.lua                                                                      | Lua        |          7 |          0 |          9 |         16 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop3\BillboardGui\init.meta.json                                                                         | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop3\init.meta.json                                                                                      | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop4\BillboardGui\Script.server.lua                                                                      | Lua        |          7 |          0 |          9 |         16 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop4\BillboardGui\init.meta.json                                                                         | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\Drop4\init.meta.json                                                                                      | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Drops\init.meta.json                                                                                            | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\EggDataMeta.lua                                                                                                 | Lua        |         99 |         12 |         19 |        130 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\EggsData.lua                                                                                                    | Lua        |        170 |          1 |         14 |        185 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\Custom.lua                                                                                         | Lua        |         15 |          0 |         14 |         29 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\Main\.source.lua                                                                                   | Lua        |        166 |          6 |         30 |        202 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\Main\DecimalFormatSymbols.lua                                                                      | Lua        |         35 |          0 |          8 |         43 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\Main\IntegerWidth.lua                                                                              | Lua        |         32 |          1 |          8 |         41 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\Main\Notation.lua                                                                                  | Lua        |         92 |          2 |         22 |        116 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\Main\Precision.lua                                                                                 | Lua        |        148 |          1 |         30 |        179 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\Main\init.lua                                                                                      | Lua        |        166 |          4 |         29 |        199 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\Simple.lua                                                                                         | Lua        |         53 |          4 |         19 |         76 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\Version.lua                                                                                        | Lua        |         65 |          4 |         13 |         82 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\_internal\.source.lua                                                                              | Lua        |          8 |          0 |          0 |          8 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\FormatNumber\_internal\class.lua                                                                                | Lua        |        168 |          5 |         31 |        204 |
